officeCode,city,phone,addressLine1,country,postalCode,territory
1,Tokyo,123-456-429,"123 Main St, Tokyo",Japan,100-0001,NULL
10,Tokyo,123-456-150,"123 Main St, Tokyo",Japan,100-0001,NULL
100,New York,123-456-381,"123 Main St, New York",USA,10001,NULL
1000,New York,123-456-923,"123 Main St, New York",USA,10001,NULL
101,London,123-456-409,"123 Main St, London",UK,SW1A 1AA,NULL
102,New York,123-456-680,"123 Main St, New York",USA,10001,NULL
103,London,123-456-437,"123 Main St, London",UK,SW1A 1AA,NULL
104,London,123-456-253,"123 Main St, London",UK,SW1A 1AA,NULL
105,Tokyo,123-456-871,"123 Main St, Tokyo",Japan,100-0001,NULL
106,New York,123-456-753,"123 Main St, New York",USA,10001,NULL
107,Tokyo,123-456-492,"123 Main St, Tokyo",Japan,100-0001,NULL
108,Berlin,123-456-981,"123 Main St, Berlin",Germany,10115,NULL
109,Paris,123-456-944,"123 Main St, Paris",France,75001,NULL
11,New York,123-456-744,"123 Main St, New York",USA,10001,NULL
110,New York,123-456-415,"123 Main St, New York",USA,10001,NULL
111,Paris,123-456-262,"123 Main St, Paris",France,75001,NULL
112,New York,123-456-616,"123 Main St, New York",USA,10001,NULL
113,London,123-456-091,"123 Main St, London",UK,SW1A 1AA,NULL
114,Tokyo,123-456-113,"123 Main St, Tokyo",Japan,100-0001,NULL
115,Tokyo,123-456-522,"123 Main St, Tokyo",Japan,100-0001,NULL
116,London,123-456-910,"123 Main St, London",UK,SW1A 1AA,NULL
117,New York,123-456-827,"123 Main St, New York",USA,10001,NULL
118,Berlin,123-456-741,"123 Main St, Berlin",Germany,10115,NULL
119,New York,123-456-522,"123 Main St, New York",USA,10001,NULL
12,Tokyo,123-456-394,"123 Main St, Tokyo",Japan,100-0001,NULL
120,Tokyo,123-456-707,"123 Main St, Tokyo",Japan,100-0001,NULL
121,Berlin,123-456-179,"123 Main St, Berlin",Germany,10115,NULL
122,London,123-456-448,"123 Main St, London",UK,SW1A 1AA,NULL
123,London,123-456-252,"123 Main St, London",UK,SW1A 1AA,NULL
124,Berlin,123-456-406,"123 Main St, Berlin",Germany,10115,NULL
125,Tokyo,123-456-624,"123 Main St, Tokyo",Japan,100-0001,NULL
126,London,123-456-999,"123 Main St, London",UK,SW1A 1AA,NULL
127,Berlin,123-456-983,"123 Main St, Berlin",Germany,10115,NULL
128,Tokyo,123-456-230,"123 Main St, Tokyo",Japan,100-0001,NULL
129,Paris,123-456-511,"123 Main St, Paris",France,75001,NULL
13,Berlin,123-456-357,"123 Main St, Berlin",Germany,10115,NULL
130,New York,123-456-391,"123 Main St, New York",USA,10001,NULL
131,Berlin,123-456-566,"123 Main St, Berlin",Germany,10115,NULL
132,Paris,123-456-657,"123 Main St, Paris",France,75001,NULL
133,Berlin,123-456-474,"123 Main St, Berlin",Germany,10115,NULL
134,New York,123-456-187,"123 Main St, New York",USA,10001,NULL
135,Paris,123-456-480,"123 Main St, Paris",France,75001,NULL
136,Paris,123-456-914,"123 Main St, Paris",France,75001,NULL
137,New York,123-456-366,"123 Main St, New York",USA,10001,NULL
138,New York,123-456-398,"123 Main St, New York",USA,10001,NULL
139,New York,123-456-134,"123 Main St, New York",USA,10001,NULL
14,Tokyo,123-456-568,"123 Main St, Tokyo",Japan,100-0001,NULL
140,Paris,123-456-731,"123 Main St, Paris",France,75001,NULL
141,New York,123-456-384,"123 Main St, New York",USA,10001,NULL
142,New York,123-456-566,"123 Main St, New York",USA,10001,NULL
143,Berlin,123-456-826,"123 Main St, Berlin",Germany,10115,NULL
144,Berlin,123-456-086,"123 Main St, Berlin",Germany,10115,NULL
145,Tokyo,123-456-886,"123 Main St, Tokyo",Japan,100-0001,NULL
146,Berlin,123-456-151,"123 Main St, Berlin",Germany,10115,NULL
147,Berlin,123-456-756,"123 Main St, Berlin",Germany,10115,NULL
148,Paris,123-456-590,"123 Main St, Paris",France,75001,NULL
149,London,123-456-067,"123 Main St, London",UK,SW1A 1AA,NULL
15,Tokyo,123-456-043,"123 Main St, Tokyo",Japan,100-0001,NULL
150,London,123-456-339,"123 Main St, London",UK,SW1A 1AA,NULL
151,Berlin,123-456-771,"123 Main St, Berlin",Germany,10115,NULL
152,New York,123-456-178,"123 Main St, New York",USA,10001,NULL
153,Paris,123-456-011,"123 Main St, Paris",France,75001,NULL
154,Tokyo,123-456-823,"123 Main St, Tokyo",Japan,100-0001,NULL
155,Berlin,123-456-272,"123 Main St, Berlin",Germany,10115,NULL
156,New York,123-456-691,"123 Main St, New York",USA,10001,NULL
157,Paris,123-456-254,"123 Main St, Paris",France,75001,NULL
158,New York,123-456-575,"123 Main St, New York",USA,10001,NULL
159,Berlin,123-456-095,"123 Main St, Berlin",Germany,10115,NULL
16,Tokyo,123-456-851,"123 Main St, Tokyo",Japan,100-0001,NULL
160,London,123-456-280,"123 Main St, London",UK,SW1A 1AA,NULL
161,Paris,123-456-087,"123 Main St, Paris",France,75001,NULL
162,Paris,123-456-888,"123 Main St, Paris",France,75001,NULL
163,New York,123-456-233,"123 Main St, New York",USA,10001,NULL
164,London,123-456-994,"123 Main St, London",UK,SW1A 1AA,NULL
165,London,123-456-279,"123 Main St, London",UK,SW1A 1AA,NULL
166,Tokyo,123-456-490,"123 Main St, Tokyo",Japan,100-0001,NULL
167,Berlin,123-456-412,"123 Main St, Berlin",Germany,10115,NULL
168,Tokyo,123-456-566,"123 Main St, Tokyo",Japan,100-0001,NULL
169,Paris,123-456-763,"123 Main St, Paris",France,75001,NULL
17,Tokyo,123-456-503,"123 Main St, Tokyo",Japan,100-0001,NULL
170,Tokyo,123-456-041,"123 Main St, Tokyo",Japan,100-0001,NULL
171,Paris,123-456-132,"123 Main St, Paris",France,75001,NULL
172,New York,123-456-148,"123 Main St, New York",USA,10001,NULL
173,New York,123-456-808,"123 Main St, New York",USA,10001,NULL
174,London,123-456-919,"123 Main St, London",UK,SW1A 1AA,NULL
175,New York,123-456-709,"123 Main St, New York",USA,10001,NULL
176,London,123-456-273,"123 Main St, London",UK,SW1A 1AA,NULL
177,New York,123-456-673,"123 Main St, New York",USA,10001,NULL
178,London,123-456-328,"123 Main St, London",UK,SW1A 1AA,NULL
179,Tokyo,123-456-529,"123 Main St, Tokyo",Japan,100-0001,NULL
18,Paris,123-456-500,"123 Main St, Paris",France,75001,NULL
180,Paris,123-456-642,"123 Main St, Paris",France,75001,NULL
181,Paris,123-456-804,"123 Main St, Paris",France,75001,NULL
182,London,123-456-426,"123 Main St, London",UK,SW1A 1AA,NULL
183,London,123-456-434,"123 Main St, London",UK,SW1A 1AA,NULL
184,Tokyo,123-456-949,"123 Main St, Tokyo",Japan,100-0001,NULL
185,London,123-456-155,"123 Main St, London",UK,SW1A 1AA,NULL
186,New York,123-456-715,"123 Main St, New York",USA,10001,NULL
187,Paris,123-456-901,"123 Main St, Paris",France,75001,NULL
188,Tokyo,123-456-525,"123 Main St, Tokyo",Japan,100-0001,NULL
189,New York,123-456-876,"123 Main St, New York",USA,10001,NULL
19,Tokyo,123-456-231,"123 Main St, Tokyo",Japan,100-0001,NULL
190,London,123-456-018,"123 Main St, London",UK,SW1A 1AA,NULL
191,Berlin,123-456-827,"123 Main St, Berlin",Germany,10115,NULL
192,Paris,123-456-224,"123 Main St, Paris",France,75001,NULL
193,London,123-456-029,"123 Main St, London",UK,SW1A 1AA,NULL
194,Berlin,123-456-048,"123 Main St, Berlin",Germany,10115,NULL
195,Paris,123-456-877,"123 Main St, Paris",France,75001,NULL
196,Paris,123-456-717,"123 Main St, Paris",France,75001,NULL
197,Berlin,123-456-486,"123 Main St, Berlin",Germany,10115,NULL
198,London,123-456-367,"123 Main St, London",UK,SW1A 1AA,NULL
199,New York,123-456-199,"123 Main St, New York",USA,10001,NULL
2,Tokyo,123-456-469,"123 Main St, Tokyo",Japan,100-0001,NULL
20,Paris,123-456-812,"123 Main St, Paris",France,75001,NULL
200,New York,123-456-020,"123 Main St, New York",USA,10001,NULL
201,London,123-456-556,"123 Main St, London",UK,SW1A 1AA,NULL
202,Berlin,123-456-944,"123 Main St, Berlin",Germany,10115,NULL
203,Berlin,123-456-647,"123 Main St, Berlin",Germany,10115,NULL
204,London,123-456-869,"123 Main St, London",UK,SW1A 1AA,NULL
205,London,123-456-963,"123 Main St, London",UK,SW1A 1AA,NULL
206,New York,123-456-144,"123 Main St, New York",USA,10001,NULL
207,London,123-456-362,"123 Main St, London",UK,SW1A 1AA,NULL
208,Berlin,123-456-091,"123 Main St, Berlin",Germany,10115,NULL
209,Tokyo,123-456-501,"123 Main St, Tokyo",Japan,100-0001,NULL
21,Berlin,123-456-537,"123 Main St, Berlin",Germany,10115,NULL
210,Berlin,123-456-357,"123 Main St, Berlin",Germany,10115,NULL
211,Berlin,123-456-213,"123 Main St, Berlin",Germany,10115,NULL
212,London,123-456-807,"123 Main St, London",UK,SW1A 1AA,NULL
213,Tokyo,123-456-823,"123 Main St, Tokyo",Japan,100-0001,NULL
214,New York,123-456-992,"123 Main St, New York",USA,10001,NULL
215,New York,123-456-068,"123 Main St, New York",USA,10001,NULL
216,New York,123-456-818,"123 Main St, New York",USA,10001,NULL
217,London,123-456-409,"123 Main St, London",UK,SW1A 1AA,NULL
218,Paris,123-456-669,"123 Main St, Paris",France,75001,NULL
219,Tokyo,123-456-678,"123 Main St, Tokyo",Japan,100-0001,NULL
22,Paris,123-456-697,"123 Main St, Paris",France,75001,NULL
220,Paris,123-456-673,"123 Main St, Paris",France,75001,NULL
221,London,123-456-761,"123 Main St, London",UK,SW1A 1AA,NULL
222,Paris,123-456-398,"123 Main St, Paris",France,75001,NULL
223,Berlin,123-456-785,"123 Main St, Berlin",Germany,10115,NULL
224,Berlin,123-456-538,"123 Main St, Berlin",Germany,10115,NULL
225,New York,123-456-675,"123 Main St, New York",USA,10001,NULL
226,Paris,123-456-372,"123 Main St, Paris",France,75001,NULL
227,Paris,123-456-974,"123 Main St, Paris",France,75001,NULL
228,Paris,123-456-440,"123 Main St, Paris",France,75001,NULL
229,Paris,123-456-706,"123 Main St, Paris",France,75001,NULL
23,Berlin,123-456-779,"123 Main St, Berlin",Germany,10115,NULL
230,New York,123-456-838,"123 Main St, New York",USA,10001,NULL
231,New York,123-456-214,"123 Main St, New York",USA,10001,NULL
232,Paris,123-456-375,"123 Main St, Paris",France,75001,NULL
233,London,123-456-114,"123 Main St, London",UK,SW1A 1AA,NULL
234,Berlin,123-456-132,"123 Main St, Berlin",Germany,10115,NULL
235,Berlin,123-456-166,"123 Main St, Berlin",Germany,10115,NULL
236,Berlin,123-456-580,"123 Main St, Berlin",Germany,10115,NULL
237,London,123-456-695,"123 Main St, London",UK,SW1A 1AA,NULL
238,Berlin,123-456-856,"123 Main St, Berlin",Germany,10115,NULL
239,Paris,123-456-629,"123 Main St, Paris",France,75001,NULL
24,Berlin,123-456-659,"123 Main St, Berlin",Germany,10115,NULL
240,Tokyo,123-456-473,"123 Main St, Tokyo",Japan,100-0001,NULL
241,Berlin,123-456-926,"123 Main St, Berlin",Germany,10115,NULL
242,New York,123-456-886,"123 Main St, New York",USA,10001,NULL
243,London,123-456-023,"123 Main St, London",UK,SW1A 1AA,NULL
244,Paris,123-456-983,"123 Main St, Paris",France,75001,NULL
245,Berlin,123-456-163,"123 Main St, Berlin",Germany,10115,NULL
246,New York,123-456-424,"123 Main St, New York",USA,10001,NULL
